domain,nb
malariaatlas.org,25
oatd.org,25
mastapp.site,25
pypi.org,25
websig.citrus.inrae.fr,25
archive-ouverte.unige.ch,25
ngphylogeny.fr,25
dss.niagads.org,25
www.betestdata.eu,25
design.numerique.gouv.fr,25
dati.inail.it,25
vectoratlas.icipe.org,25
www.amazon.in,25
service.tib.eu,24
www.arcgis.com,24
iris.cnr.it,24
data.met.no,24
izquierdas.csic.edu.uy,24
fair-enough.semanticscience.org,24
isad.ie,24
nadc.china-vo.org,24
agdatacommons.nal.usda.gov,24
elib.bsu.by,24
ekultura.hr,24
elixir-europe-training.github.io,24
www.sg.ch,24
sites.google.com,24
qwsdata.github.io,24
www.odatis-ocean.fr,24
shanoir.irisa.fr,24
mpconsultors-my.sharepoint.com,24
journals.vgtu.lt,24
pytorch.org,24
check-payment-practices.service.gov.uk,24
netex.ie,24
nbn-resolving.org,24
www.etenders.gov.ie,24
ndber.seai.ie,24
www.sikart.ch,24
www.kielipankki.fi,24
www.facebook.com,24
www.experimental.bfs.admin.ch,24
jdcat.jsps.go.jp,24
www.big.admin.ch,24
semweb.csdb.cn,24
www.CLUEbenchmarks.com,24
repod.icm.edu.pl,24
lmb.informatik.uni-freiburg.de,24
lms.comp.nus.edu.sg,24
metadata.ega-archive.org,24
metadata.bgs.ac.uk,24
www.swissadme.ch,24
lod.bco-dmo.org,24
repository.dri.ie,24
www.yso.fi,24
www.donneesquebec.ca,24
www.lipidmaps.org,24
repository.nwu.ac.za,24
richardtml.github.io,24
www.amazon.com,24
www.stups.fr,24
www.ramsar.org,24
restore.ovi.cnr.it,24
www.debojit.in,24
epupa.valoda.lv,24
www.stapferenquete.ch,24
eprints.kname.edu.ua,24
epoc.inria.fr,24
www.lmic.lv,24
www.recherche.bar.admin.ch,24
api3.geo.admin.ch,24
liveschema.eu,24
www.library.ethz.ch,24
remap.univ-amu.fr,24
www.lustat.ch,24
kopkatalogs.lv,24
www.einkommensstatistik.ch,24
www.crunchbase.com,24
emdb.jaea.go.jp,24
data-wexfordcoco.hub.arcgis.com,24
radarro.com,24
bond-lab.github.io,24
www.zudusilatvija.lv,24
www.landdirect.ie,24
www.eecs.qmul.ac.uk,24
nkrs.ch,24
developer.nationaltransport.ie,24
linkedart.ascdc.tw,24
www.norman-network.com,24
rasgos.cl,24
db.humanconnectome.org,24
archiv.ub.uni-heidelberg.de,24
legacy.igws.indiana.edu,24
lew.bet,24
mobidb.org,24
www.legalaidboard.ie,24
mlg.ucd.ie,24
www.eapk.org.ua,24
arachne.dainst.org,24
lawatlas.org,24
www.chemspider.com,24
data.faang.org,24
vilda.alaska.edu,24
3d.humanities.science,24
3did.irbbarcelona.org,24
www.uco.es,24
perks-project.github.io,24
tezaurs.lv,24
ead.nb.admin.ch,24
opendata.pku.edu.cn,24
www.bs.ch,24
www.gov.br,24
genomique.biologie.ens.fr,24
termini.gov.lv,24
data.donders.ru.nl,24
www.beast2.org,24
physionet.org,24
pi.pauwel.be,24
hea.ie,24
healthdatanexus.ai,24
helvia.uco.es,24
public.opendatasoft.com,24
dataportal.lifewatchitaly.eu,24
plos.figshare.com,24
www.movebank.org,24
dataportal.senckenberg.de,24
podcasts.ceu.edu,24
bastaire.msh.uca.fr,24
openresearch-repository.anu.edu.au,24
pems.dot.ca.gov,24
bioregistry.io,24
geodata.gov.gr,24
